CD_Rank,College_Name,College_URL,Location,Approvals,NAAC_Grade,First_Year_Fees,Avg_Package,Highest_Package,Rating,Reviews,National_Ranking,college_code,Match_Score
#1,"R V College of Engineering - [RVCE], Bangalore",https://collegedunia.com/college/14673-r-v-college-of-engineering-rvce-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1332840.0,1252400.0,6700000.0,3.9,"Based on 439 User
Reviews",85.0,E005,100
#2,"BMS College of Engineering - [BMSCE], Bangalore",https://collegedunia.com/college/5540-bms-college-of-engineering-bmsce-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A++,1204400.0,1140000.0,5150000.0,4.1,"Based on 366 User
Reviews",96.0,E003,100
#3,"PES University - [PESU], Bangalore",https://collegedunia.com/university/28294-pes-university-pesu-bangalore,"Bangalore, Karnataka","AICTE, UGC Approved",A+,2210000.0,1010000.0,6500000.0,3.9,"Based on 525 User
Reviews",140.0,E009,100
#4,"Ramaiah Institute of Technology - [RIT], Bangalore",https://collegedunia.com/college/5621-ramaiah-institute-of-technology-rit-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,1204400.0,766000.0,5000000.0,4.0,"Based on 634 User
Reviews",143.0,E006,100
#5,"Sri Jayachamarajendra College of Engineering - [SJCE], Mysore",https://collegedunia.com/college/15219-sri-jayachamarajendra-college-of-engineering-sjce-mysore,"Mysore, Karnataka","AICTE, NBA Approved",,486440.0,5600000.0,,4.1,"Based on 96 User
Reviews",176.0,E021,100
#6,"JSS Science and Technology University -[JSSSTU], Mysore",https://collegedunia.com/university/60372-jss-science-and-technology-university-jssstu-mysore,"Mysore, Karnataka","AICTE, UGC, NBA Approved",B++,1204400.0,6000000.0,,4.2,"Based on 79 User
Reviews",190.0,E284,100
#7,"University Visvesvaraya College of Engineering - [UVCE], Bangalore",https://collegedunia.com/college/28204-university-visvesvaraya-college-of-engineering-uvce-bangalore,"Bangalore, Karnataka",AICTE Approved,,198330.0,2850000.0,,3.8,"Based on 106 User
Reviews",196.0,E001,100
#8,"Dayananda Sagar College of Engineering - [DSCE], Bangalore",https://collegedunia.com/college/28562-dayananda-sagar-college-of-engineering-dsce-bangalore,"Bangalore, Karnataka","AICTE, UGC, NBA Approved",A,1204400.0,750000.0,2000000.0,4.0,"Based on 443 User
Reviews",202.0,E007,100
#9,"JSS Academy of Technical Education - [JSSATE], Bangalore",https://collegedunia.com/college/55794-jss-academy-of-technical-education-jssate-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A+,509740.0,1000000.0,4500000.0,3.8,"Based on 121 User
Reviews",211.0,E082,100
#10,"PES Institute of Technology and Management, Bangalore",https://collegedunia.com/university/56859-pes-institute-of-technology-and-management-bangalore,"Bangalore, Karnataka","AICTE, NBA Approved",A,,330000.0,1200000.0,3.7,"Based on 77 User
Reviews",212.0,E008,100
